id,region,address,developer,lat,lon,class_desc,plan_ready100perc_date,floors,flats,square,object_problem,wall_material,infrastructure_index,parking_count,energy_eff,price_avg,ceiling_height,guest_parking_count,transport_dist_index
36281,78,"г Санкт-Петербург, район Невский, ул Варфоломеевская, д. 6",ВЕСНА,59.8791,30.4195,Комфорт,2023-03-31,14.0,0.0,0.0,0,Монолит-кирпич,8,0.0,C,123183.0,,87.0,8.0
28310,78,"г Санкт-Петербург, ул Выборгская, д. 4, литера А, корпус 2",ВИКТОРИЯ,59.9653,30.3459,Бизнес,2020-12-03,11.0,86.0,6205.0,0,Монолит-кирпич,9,2.0,B,168369.0,,,8.0
41872,78,"г Санкт-Петербург, линия 13-ая, д. 50, литера А",ВИНТЕКО,59.9427,30.2681,Элитный,2023-06-30,8.0,61.0,7922.49,0,Монолит-кирпич,9,54.0,A++,,3,0.0,8.0
43506,78,"г Санкт-Петербург, ул Школьная",ВИСТА,59.9882,30.287,Комфорт,2026-12-31,13.0,726.0,30187.3,0,Другое,8,100.0,C,,"2,68",264.0,6.0
10426,78,"г Павловск, Улица Слуцкая, д. 1, литера А1",ВИСТБАЛТ,59.6898,30.4286,Комфорт,2021-05-31,5.0,28.0,1077.8,0,Монолит-кирпич,8,0.0,B,96137.0,"2,55 - 2,6",0.0,1.0
10420,78,"г Павловск, Улица Слуцкая, д. 1, литера А1",ВИСТБАЛТ,59.6883,30.4269,Комфорт,2021-05-31,5.0,30.0,1762.91,0,Монолит-кирпич,8,0.0,B,97176.0,"2,55 - 2,6",0.0,1.0
10421,78,"г Павловск, Улица Слуцкая, д. 1, литера А1",ВИСТБАЛТ,59.6885,30.4273,Комфорт,2021-05-31,5.0,30.0,1762.91,0,Монолит-кирпич,8,0.0,B,94548.0,"2,55 - 2,6",0.0,1.0
10423,78,"г Павловск, Улица Слуцкая, д. 1, литера А1",ВИСТБАЛТ,59.6887,30.4276,Комфорт,2021-05-31,5.0,30.0,1747.6,0,Монолит-кирпич,8,0.0,B,93556.0,"2,55 - 2,6",0.0,1.0
10424,78,"г Павловск, Улица Слуцкая, д. 1, литера А1",ВИСТБАЛТ,59.68899999999999,30.428,Комфорт,2021-05-31,5.0,30.0,1762.86,0,Монолит-кирпич,8,0.0,B,89599.0,"2,55 - 2,6",0.0,1.0
10425,78,"г Павловск, Улица Слуцкая, д. 1, литера А1",ВИСТБАЛТ,59.6894,30.4282,Комфорт,2021-05-31,5.0,24.0,1255.5,0,Монолит-кирпич,8,0.0,B,93920.0,"2,55 - 2,6",0.0,1.0
10422,78,"г Павловск, Улица Слуцкая, д. 1, литера А1",ВИСТБАЛТ,59.6881,30.4277,Комфорт,2021-05-31,5.0,24.0,1255.5,0,Монолит-кирпич,8,0.0,B,98176.0,"2,55 - 2,6",0.0,1.0
8793,78,"г Санкт-Петербург, проспект Стачек",ВОИН-В,59.8758,30.2576,Комфорт,2020-01-16,10.0,325.0,16169.53,0,Монолит-кирпич,8,119.0,B,107279.0,,,8.0
13162,78,"г Санкт-Петербург, улица Лени Голикова",ВОИН-В,59.8393,30.2396,Комфорт,2019-12-31,10.0,36.0,1858.49,0,Монолит-кирпич,8,0.0,B,119253.0,,,3.0
37847,78,"г Зеленогорск, ул Строителей, д. 3, литера А",ВЫМПЕЛ,60.2077,29.6809,Комфорт,2022-09-30,7.0,486.0,21878.0,0,Монолит-кирпич,2,0.0,D,103087.0,"2,56",38.0,
